100003233,Youth in Revolt: The Journals of Nick Twisp : Volumes I  II  III/Youth in Revolt/Youth in Bondage/Youth in Exile,C.D. Payne,1,503,1993,9701,,22
100003234,On Anarchism,Noam Chomsky/Barry Pateman,1,256,2005,9702,321,7
100003235,Hairstyles of the Damned,Joe Meno,1,270,2004,9703,553,6
100003236,Robinson Crusoe,Daniel Defoe/Avi,1,482,2001,9704,,11
100003237,Five Little Peppers and How They Grew (Five Little Peppers  #1),Margaret Sidney,1,352,2006,9704,260,8
100003238,The Moon Lady,Amy Tan/Gretchen Schields,1,32,1995,9704,,1
100003239,The Wizard's Apprentice (The Keepers  #2),Jackie French Koller/Rebecca Guay,1,175,2003,9704,,6
100003240,Misty of Chincoteague (Misty  #1),Marguerite Henry/Wesley Dennis,1,176,2006,9704,718,5
100003241,The Children's Homer: The Adventures of Odysseus and the Tale of Troy,Padraic Colum/Willy Pogány,1,256,2004,9704,,7
100003242,The Trumpeter of Krakow,Eric P. Kelly/Janina Domanska,1,224,1999,9704,,7
100003243,Dragonsinger (Harper Hall  #2),Anne McCaffrey,1,288,2003,9704,,14
100003244,Nancy Drew: Girl Detective: #1-4,Carolyn Keene,1,640,2004,9704,,25
100003245,The Fourth of July Story,Alice Dalgliesh/Marie Nonnast,1,32,1995,9704,778,2
100003246,Climb the Family Tree  Jesse Bear!,Nancy White Carlstrom/Bruce Degen,1,32,2004,9704,,2
100003247,What a Scare  Jesse Bear,Nancy White Carlstrom/Bruce Degen,1,32,2012,9704,,2
100003248,The Chocolate-Covered Contest (Nancy Drew  #151),Carolyn Keene,1,160,1999,9704,77,5
100003249,Ghost Stories (Nancy Drew),Carolyn Keene,1,160,1989,9704,,6
100003250,The Bears on Hemlock Mountain,Alice Dalgliesh/Helen Sewell,1,58,1992,9704,,3
100003251,The Call of the Wild,Jack London/Wendell Minor,1,128,1999,9704,,7
100003252,The Call of the Wild,Jack London/Gary Paulsen,1,139,2003,9704,,3
100003253,Beatrice's Goat,Page McBrier/Lori Lohstoeter/Hillary Rodham Clinton,1,40,2004,9704,,2
100003254,Hitty  Her First Hundred Years,Rachel Field/Dorothy P. Lathrop,1,256,1998,9704,621,11
100003255,Seaward,Susan Cooper,1,167,1987,9705,,6
100003256,The Boggart,Susan Cooper/Omar Rayyan,1,196,2005,9705,535,5
100003257,Dicey's Song (Tillerman Cycle  #2),Cynthia Voigt,1,359,2003,9705,,10
100003258,Tehanu (Earthsea Cycle  #4),Ursula K. Le Guin,1,281,2001,9705,683,8
100003259,Lotta on Troublemaker Street,Astrid Lindgren/Robin Preiss Glasser,1,55,2001,9705,,2
100003260,Jennifer  Hecate  Macbeth  William McKinley  and Me  Elizabeth,E.L. Konigsburg,1,128,2007,9705,,4
100003261,Dragonsong (Harper Hall  #1),Anne McCaffrey,1,192,2006,9705,,6
100003262,Star Bright (Star Power  #8),Catherine Hapka,1,160,2005,9705,,5
100003263,Dear Peter Rabbit,Alma Flor Ada/Leslie Tryon,1,32,2006,9705,,1
100003264,Sagwa  the Chinese Siamese Cat,Amy Tan/Gretchen Schields,1,40,2001,9705,447,2
100003265,Voting Rights Days (Hitty's Travels  #3),Ellen Weiss/Betina Ogden,1,75,2002,9705,,3
100003266,The Sea Wolf,Jack London,1,425,2005,9706,50,13
100003267,When I Feel Angry,Nancy Cote/Cornelia Maude Spelman,1,24,2000,9707,,2
100003268,The Midnight Mystery (The Boxcar Children  #95),Gertrude Chandler Warner,1,128,2003,9707,242,3
100003269,Monsieur Ibrahim et les fleurs du Coran,Éric-Emmanuel Schmitt,3,85,2001,9708,,3
100003270,L'Aube du désert,Waris Dirie/Jeanne d' Haem,3,288,2002,9708,532,13
100003271,Les Fils des ténèbres,Dan Simmons,3,464,1994,9708,,14
100003272,Dreamcatcher,Stephen King/William Olivier Desmond/Maria Teresa Marenco,3,688,2002,9708,,32
100003273,Menace Invisible (Admiral Arnold Morgan  #3),Patrick Robinson,3,384,2000,9708,475,8
100003274,Jesus Freaks: Stories of Those Who Stood for Jesus  the Ultimate Jesus Freaks (Jesus Freaks  #1),D.C. Talk/The Voice of the Martyrs,1,383,1999,9709,204,11
100003275,Alcoholics Anonymous,Alcoholics Anonymous,1,250,1993,9710,,6
100003276,Legend of the Five Rings RPG,Rich Wulf/Shawn Carman/Seth Mason/Rob Vaux/Katie Yates/Brian Yoon/Fred Wan/D.J. Trindle,1,318,2005,9711,256,14
100003277,Secrets of the Scorpion,Jed Carleton/Shawn Carman/Seth Mason/Robert    Lee/Travis Heerman/Aaron Medwin/Matthew S. Armstrong/D.J. Trindle/Cris Dornaus/Eric Steiger,1,96,2003,9712,,5
100003278,Las intermitencias de la muerte,José Saramago/Pilar del Río,9,274,2005,9713,935,6
100003279,El Reino Animal,Sergio Ramírez,9,256,2006,9713,562,9
100003280,No me cogeréis vivo: artículos 2001-2005,Arturo Pérez-Reverte,9,537,2005,9713,,14
